Country,Region,Happiness_Score,GDP_per_Capita,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption_Perception,Unemployment_Rate,Education_Index
Finland,East Asia,5.336,9.905,0.684,61.2,0.648,-0.3,0.099,8.0,0.681
Denmark,North America & ANZ,6.057,9.392,0.987,64.1,0.766,0.187,0.169,10.4,0.8
Iceland,Western Europe,6.279,11.12,0.99,65.6,0.99,0.146,0.278,1.7,0.884
Switzerland,Western Europe,7.569,12.5,0.99,76.4,0.99,-0.095,0.363,3.9,0.9
Netherlands,Sub-Saharan Africa,3.699,8.718,0.467,57.3,0.427,-0.087,0.02,7.5,0.385
Luxembourg,East Asia,4.282,10.82,0.65,53.0,0.554,0.146,0.113,9.7,0.494
Sweden,Western Europe,7.292,12.5,0.99,80.0,0.99,0.185,0.403,5.3,0.99
Norway,Central & Eastern Europe,5.221,11.031,0.774,65.3,0.781,0.111,0.15,6.3,0.833
Israel,Central & Eastern Europe,4.678,9.0,0.852,55.5,0.719,0.263,0.162,3.3,0.48
New Zealand,Western Europe,5.706,11.396,0.943,66.5,0.99,0.302,0.319,6.5,0.661
Austria,Southeast Asia,4.089,8.739,0.6,55.2,0.391,0.13,0.02,10.7,0.555
Australia,East Asia,4.391,9.345,0.684,56.3,0.616,0.082,0.038,9.8,0.63
Ireland,Sub-Saharan Africa,3.574,10.671,0.304,53.8,0.2,-0.3,0.02,13.2,0.482
Germany,Sub-Saharan Africa,2.0,6.775,0.3,45.0,0.2,-0.3,0.02,10.7,0.256
Canada,Sub-Saharan Africa,2.573,7.911,0.58,46.0,0.447,-0.148,0.02,13.1,0.359
United States,Sub-Saharan Africa,4.004,8.431,0.432,47.5,0.433,-0.279,0.02,12.8,0.499
Belgium,North America & ANZ,4.801,8.953,0.872,56.5,0.975,0.438,0.092,4.8,0.637
United Kingdom,Southeast Asia,4.271,10.928,0.472,55.5,0.586,-0.154,0.02,9.4,0.361
Czech Republic,Southeast Asia,3.73,8.192,0.5,49.2,0.423,-0.071,0.064,9.2,0.456
Lithuania,Southeast Asia,3.671,8.827,0.598,52.8,0.736,0.025,0.02,10.5,0.363
Slovenia,Western Europe,6.812,12.5,0.99,79.3,0.99,0.224,0.402,4.3,0.99
France,Sub-Saharan Africa,4.228,8.949,0.383,55.7,0.516,0.099,0.071,8.9,0.8
Singapore,Western Europe,5.398,10.766,0.99,60.8,0.86,0.026,0.312,5.4,0.79
Romania,Sub-Saharan Africa,3.524,8.352,0.71,47.7,0.435,-0.041,0.02,10.9,0.406
Estonia,Sub-Saharan Africa,3.551,9.2,0.61,56.3,0.45,-0.237,0.02,7.9,0.582
Poland,Latin America & Caribbean,4.642,9.52,0.894,62.7,0.892,-0.146,0.199,5.1,0.752
Serbia,Southeast Asia,3.067,7.97,0.62,58.3,0.78,-0.129,0.148,11.5,0.535
Malta,Central & Eastern Europe,5.17,10.26,0.696,62.4,0.809,-0.047,0.252,5.6,0.719
Spain,East Asia,4.418,9.083,0.723,56.0,0.59,-0.087,0.096,10.5,0.771
Panama,East Asia,4.096,9.757,0.547,55.6,0.495,-0.157,0.061,9.9,0.462
Latvia,East Asia,4.59,9.22,0.662,55.9,0.659,-0.23,0.14,5.6,0.616
Chile,Western Europe,6.889,12.309,0.99,76.3,0.845,0.146,0.337,2.3,0.888
Slovakia,Western Europe,5.75,10.646,0.99,66.8,0.969,-0.068,0.261,8.8,0.83
Taiwan,Sub-Saharan Africa,2.627,8.347,0.396,50.7,0.373,-0.063,0.02,9.4,0.3
Hungary,Western Europe,6.793,12.154,0.99,70.6,0.99,0.267,0.43,3.3,0.902
Philippines,Sub-Saharan Africa,2.578,8.123,0.302,45.0,0.2,-0.3,0.099,13.3,0.281
Croatia,Central & Eastern Europe,4.831,10.685,0.653,55.7,0.754,-0.051,0.195,9.3,0.767
Uruguay,Southeast Asia,2.789,7.467,0.457,47.6,0.5,-0.152,0.02,10.8,0.495
Kosovo,Southeast Asia,3.949,8.057,0.625,46.9,0.466,0.01,0.02,9.2,0.349
Jamaica,East Asia,4.694,9.278,0.739,53.2,0.343,0.149,0.02,11.1,0.635
Peru,Latin America & Caribbean,6.116,11.26,0.954,66.4,0.755,-0.265,0.18,10.2,0.673
Argentina,Central & Eastern Europe,4.507,10.213,0.64,67.4,0.824,-0.023,0.117,10.1,0.51
Mexico,East Asia,4.778,9.786,0.701,57.3,0.764,-0.089,0.07,9.0,0.564
Moldova,Latin America & Caribbean,5.64,9.165,0.872,62.7,0.746,0.171,0.167,6.1,0.642
Brazil,Southeast Asia,2.416,7.349,0.586,49.5,0.516,-0.006,0.02,8.9,0.699
Thailand,Sub-Saharan Africa,3.471,9.239,0.574,51.9,0.557,-0.218,0.107,11.2,0.53
South Korea,Latin America & Caribbean,5.128,9.559,0.913,61.8,0.68,0.019,0.14,8.9,0.515
Bolivia,Western Europe,6.341,12.019,0.844,68.5,0.903,-0.036,0.292,8.4,0.777
Colombia,North America & ANZ,5.967,10.773,0.99,66.0,0.94,0.26,0.209,7.8,0.869
Ecuador,Southeast Asia,2.958,7.559,0.722,48.7,0.706,-0.022,0.02,7.9,0.645
Portugal,East Asia,5.009,10.707,0.583,58.1,0.605,0.218,0.205,10.3,0.474
China,Southeast Asia,4.196,8.996,0.612,58.2,0.549,-0.084,0.02,7.3,0.359
Bahrain,Central & Eastern Europe,5.028,9.257,0.837,56.3,0.643,-0.065,0.06,7.8,0.795
Montenegro,Western Europe,6.141,10.869,0.985,64.5,0.782,-0.135,0.233,6.7,0.83
Greece,North America & ANZ,6.362,11.323,0.856,69.8,0.798,-0.221,0.178,10.0,0.716
Mongolia,North America & ANZ,6.011,11.278,0.859,65.1,0.866,-0.179,0.21,12.2,0.853
Honduras,Latin America & Caribbean,4.437,9.236,0.878,57.2,0.882,0.126,0.08,9.6,0.363
Maldives,Southeast Asia,4.16,9.119,0.679,55.7,0.494,0.002,0.145,8.8,0.557
Kazakhstan,North America & ANZ,5.829,11.289,0.953,67.5,0.971,-0.166,0.235,7.9,0.776
Jordan,North America & ANZ,5.901,10.955,0.826,68.6,0.76,0.163,0.271,8.0,0.873
Paraguay,East Asia,4.432,9.122,0.696,55.4,0.608,-0.118,0.141,8.5,0.459
Indonesia,North America & ANZ,6.157,9.831,0.714,64.3,0.768,0.123,0.173,10.9,0.719
Morocco,Central & Eastern Europe,4.434,9.312,0.841,57.8,0.449,0.269,0.086,9.8,0.458
Turkey,Central & Eastern Europe,3.841,8.548,0.594,54.5,0.767,0.156,0.04,10.6,0.561
Nepal,Western Europe,7.108,12.126,0.99,70.4,0.99,0.131,0.331,6.4,0.787
Albania,Western Europe,6.475,11.298,0.868,67.0,0.838,-0.064,0.273,6.1,0.814
Nicaragua,North America & ANZ,4.439,10.23,0.772,58.3,0.8,-0.258,0.02,9.1,0.594
Georgia,North America & ANZ,5.646,11.857,0.931,66.2,0.825,-0.089,0.246,5.1,0.841
Ghana,North America & ANZ,4.848,10.681,0.832,62.0,0.636,0.019,0.309,5.8,0.816
Madagascar,East Asia,4.02,9.526,0.655,53.9,0.55,-0.193,0.131,7.2,0.519
Burkina Faso,Latin America & Caribbean,5.49,10.313,0.82,63.4,0.837,0.008,0.266,8.1,0.716
India,Western Europe,7.814,12.5,0.99,75.7,0.848,0.148,0.451,5.9,0.783
Sierra Leone,East Asia,4.679,10.85,0.587,57.0,0.602,-0.117,0.111,9.8,0.549
Egypt,Western Europe,7.836,12.5,0.99,80.0,0.99,0.19,0.456,6.1,0.99
Ethiopia,Sub-Saharan Africa,2.0,6.5,0.3,45.0,0.281,-0.206,0.02,14.2,0.439
South Africa,Central & Eastern Europe,4.495,11.595,0.591,57.0,0.613,-0.014,0.166,8.9,0.565
Nigeria,Western Europe,5.778,11.268,0.87,61.4,0.723,-0.043,0.261,4.5,0.902
Pakistan,Latin America & Caribbean,5.345,9.528,0.829,59.6,0.899,0.276,0.238,7.0,0.768
Myanmar,North America & ANZ,4.831,10.115,0.99,59.0,0.731,0.052,0.182,8.6,0.742
Bangladesh,Southeast Asia,3.387,7.066,0.646,47.8,0.475,-0.034,0.02,13.0,0.578
Zimbabwe,Central & Eastern Europe,4.866,8.995,0.687,62.8,0.692,0.094,0.123,7.9,0.653
Zambia,East Asia,4.814,9.807,0.596,63.8,0.723,-0.037,0.19,8.0,0.671
Tanzania,Western Europe,7.064,11.738,0.961,71.4,0.787,0.224,0.23,1.9,0.872
Lebanon,Southeast Asia,4.948,8.636,0.703,58.3,0.542,-0.051,0.02,9.0,0.64
Senegal,Latin America & Caribbean,4.59,9.062,0.854,56.9,0.792,-0.035,0.063,10.4,0.716
Uganda,East Asia,4.424,9.32,0.68,54.5,0.687,0.014,0.02,10.3,0.5
Kenya,Central & Eastern Europe,5.502,11.901,0.805,63.0,0.704,-0.208,0.183,8.0,0.589
Ivory Coast,Central & Eastern Europe,4.894,9.898,0.754,60.8,0.655,0.001,0.163,7.8,0.653
Tunisia,Central & Eastern Europe,4.903,9.821,0.732,55.8,0.616,0.01,0.075,8.7,0.524
Cambodia,Central & Eastern Europe,4.992,10.494,0.699,62.9,0.686,-0.062,0.285,6.2,0.676
Vietnam,East Asia,4.734,9.874,0.594,58.8,0.481,-0.097,0.143,10.0,0.723
